fmc_loc;fmc_pin_name;fmc_io_standard;fpga_port_name;fpga_pin
A1;;;;
A2;;;;E4
A3;;;;E3
A4;;;;
A5;;;;
A6;;;;C4
A7;;;;C3
A8;;;;
A9;;;;
A10;;;;B6
A11;;;;B5
A12;;;;
A13;;;;
A14;;;;R4
A15;;;;R3
A16;;;;
A17;;;;
A18;;;;N4
A19;;;;N3
A20;;;;
A21;;;;
A22;;;;D2
A23;;;;D1
A24;;;;
A25;;;;
A26;;;;B2
A27;;;;B1
A28;;;;
A29;;;;
A30;;;;A4
A31;;;;A3
A32;;;;
A33;;;;
A34;;;;P2
A35;;;;P1
A36;;;;
A37;;;;
A38;;;;M2
A39;;;;M1
A40;;;;
