fmc_loc;fmc_pin_name;fmc_io_standard;fpga_port_name;fpga_pin
B1;;;;M26
B2;;;;
B3;;;;
B4;;;;
B5;;;;
B6;;;;
B7;;;;
B8;;;;
B9;;;;
B10;;;;
B11;;;;
B12;;;;J4
B13;;;;J3
B14;;;;
B15;;;;
B16;;;;L4
B17;;;;L3
B18;;;;
B19;;;;
B20;;;;H6
B21;;;;H5
B22;;;;
B23;;;;
B24;;;;
B25;;;;
B26;;;;
B27;;;;
B28;;;;
B29;;;;
B30;;;;
B31;;;;
B32;;;;H2
B33;;;;H1
B34;;;;
B35;;;;
B36;;;;K2
B37;;;;K1
B38;;;;
B39;;;;
B40;;;;
